parameter,baseline,perturbation,low,high,T_low,T_high,dT_s,elasticity_T,dP1,moves_shape,abs_dT_s
eta_g,0.2,±10% of 0.2,0.18000000000000002,0.22000000000000003,103.95411763532674,96.54336523566451,-7.410752399662229,-0.3705375619576757,3.5788141616865943e-09,False,7.410752399662229
eta_p,0.6,±10% of 0.6,0.54,0.66,103.95411763532674,96.54336523566451,-7.410752399662229,-0.3705375619576757,3.5788141616865943e-09,False,7.410752399662229
A,0.23,±10% of 0.23,0.20700000000000002,0.25300000000000006,96.18537258334071,103.5707858872497,7.38541330390899,0.36927060736841627,7.356188880258685e-09,False,7.38541330390899
Cd,0.3,±10% of 0.3,0.27,0.33,96.18537258334071,103.5707858872497,7.38541330390899,0.36927060736841627,7.356188880258685e-09,False,7.38541330390899
R,1250.0,±10% of 1250,1125.0,1375.0,102.78383552808174,97.50845621820537,-5.275379309876371,-0.26376892418813636,-2.3397326298635335e-09,False,5.275379309876371
E0,50320.0,±10% of 50320,45288.0,55352.00000000001,101.0704507612968,98.95433474584642,-2.1161160154503733,-0.105805784203546,1.723189757552035e-09,False,2.1161160154503733
beta_x,0.0,0 -> 0.05 (absolute step),0.0,0.05,100.00001565979855,100.91171708055334,0.9117014207547953,,-0.0015286583716104807,True,0.9117014207547953
tau,0.0,0 -> 2 (absolute step),0.0,2.0,100.00001565979855,100.52869231957447,0.5286766597759254,,-6.9359237797606e-09,False,0.5286766597759254
