strategy,median,q25,q75,lo,hi
even,9.49995637711254e-12,7.098321930243401e-12,1.2843059948863811e-11,1.9582557797548383e-12,1.0611955758577061e-09
observed_elite_corrected,0.009412656899456806,0.008876678719243358,0.009808289254387148,0.00828058881101299,0.01066861115956712
negative_split,0.055410428320847416,0.052255240652723245,0.057739359338366825,0.048746148778442945,0.06280392760253477
positive_split,0.05541042832085452,0.05225524065274101,0.057739359338366825,0.048746148778457156,0.06280392760256105
observed_pilot_corrected,0.0755678073916144,0.0712648210796516,0.07874391791840907,0.06647916274676788,0.0856509072708917
conservative_opening,0.1846750168297575,0.1741593133999615,0.19243628507571486,0.16246373042674875,0.20931602703153016
aggressive_opening,0.26555971659364275,0.2504383798955061,0.27671964470188826,0.233620064842399,0.3009926793551571
very_aggressive,0.9379996314820787,0.8845908706251961,0.9773992803418139,0.825178458915304,1.0631424381245458
