parameter,value,race_time,P1,P2,P3,P4,first_half_frac,shape_spread,v1,k,baseline
Cd,0.3375,104.42974288115502,0.24999999863013728,0.2499999951943294,0.25000000730290656,0.24999999887262672,0.4999999938244667,1.2108577168712387e-08,1.7512252348471862,322.4671875,0.3
Cd,0.345,105.27619806969015,0.2500000094358158,0.24999999638824488,0.24999999561715303,0.24999999855878627,0.5000000058240607,1.3818662769615742e-08,1.73714473404948,329.633125,0.3
Cd,0.35250000000000004,106.11059776000363,0.25000000003028927,0.2500000019844099,0.24999999710836687,0.250000000876934,0.5000000020146992,4.87604304155731e-09,1.723484777566449,336.7990625000001,0.3
Cd,0.36,106.93336327011872,0.25000000777194425,0.24999999907075107,0.2499999953986905,0.24999999775861415,0.5000000068426953,1.2373253754915936e-08,1.7102239069457117,343.965,0.3
Cd,0.3675,107.7448928147399,0.249999999692178,0.25000000193249344,0.250000000131142,0.2499999982441866,0.5000000016246715,3.6883068543769326e-09,1.6973426345100906,351.13093749999996,0.3
Cd,0.375,108.54556319729701,0.25000000000000006,0.25,0.25,0.25000000000000006,0.5,5.551115123125783e-17,1.684822434129247,358.29687500000006,0.3
A,0.1955,94.17258085281179,0.2500000001185135,0.2500000010917198,0.24999999781212986,0.25000000097763664,0.5000000012102332,3.279589960714091e-09,1.9419665284435559,243.641875,0.23
A,0.19895000000000002,94.78442380453924,0.24999999971373746,0.25000000099538683,0.2500000013872569,0.24999999790361876,0.5000000007091243,3.4836381557212803e-09,1.9294309430686079,247.9414375,0.23
A,0.2024,95.3893188196235,0.250000000313103,0.25000000028818614,0.24999999895701236,0.2500000004416986,0.5000000006012891,1.4846862628203894e-09,1.9171957828609296,252.24099999999996,0.23
A,0.20585,95.98746042909592,0.24999999908276696,0.2499999994163173,0.24999999809002446,0.2500000034108912,0.4999999984990843,5.320866719449313e-09,1.905248871607185,256.54056249999996,0.23
A,0.2093,96.57903457277183,0.2500000001474535,0.24999999797605268,0.24999999875389525,0.25000000312259857,0.49999999812350615,5.146545883905063e-09,1.8935786705792303,260.840125,0.23
A,0.21275,97.16421912608853,0.2500000001811967,0.24999999851925206,0.24999999972633297,0.2500000015732181,0.49999999870044876,3.0539660522688195e-09,1.8821743385816787,265.1396875,0.23
A,0.2162,97.74318436731711,0.25000000483988016,0.25000000274342904,0.2499999959834826,0.24999999643320825,0.5000000075833092,8.856397559764417e-09,1.871025561969326,269.43925,0.23
A,0.21965,98.31609341834907,0.24999999914882548,0.24999999916432353,0.2500000009636548,0.2500000007231963,0.499999998313149,1.8148293423614348e-09,1.8601227353946068,273.73881249999994,0.23
A,0.22310000000000002,98.88310265220437,0.2500000080603364,0.2500000035709311,0.24999999319062552,0.24999999517810695,0.5000000116312675,1.4869710879272802e-08,1.8494564713137671,278.038375,0.23
A,0.22655,99.44436207141031,0.25000000210630197,0.2499999978217136,0.25000000007542067,0.24999999999656372,0.4999999999280156,4.284588378533627e-09,1.8390182676004612,282.33793749999995,0.23
A,0.23,100.00001565979855,0.2500000069993562,0.2500000031204067,0.24999999414098026,0.24999999573925683,0.5000000101197629,1.28583759473333e-08,1.828799662411968,286.6375,0.23
A,0.23345000000000002,100.55020170990494,0.2500000030779228,0.25000000068834877,0.24999999873213796,0.24999999750159044,0.5000000037662715,5.5763323680846355e-09,1.8187929475871245,290.9370625,0.23
A,0.2369,101.09505312806455,0.250000002799788,0.2500000005387352,0.24999999888620086,0.24999999777527587,0.5000000033385232,5.024512139684134e-09,1.8089905716774444,295.23662499999995,0.23
A,0.24035,101.63469771889976,0.2500000003449087,0.2500000011810588,0.24999999755014587,0.2500000009238867,0.5000000015259676,3.6309129314293642e-09,1.7993854840155088,299.5361875,0.23
A,0.24380000000000002,102.1692584510339,0.2500000002583759,0.24999999971947365,0.2500000003834448,0.2499999996387057,0.4999999999778495,7.447390759640626e-10,1.7899709030250108,303.83575,0.23
A,0.24725000000000003,102.69885370547632,0.25000000805495853,0.24999999958696104,0.24999999496149256,0.24999999739658788,0.5000000076419195,1.3093465978109009e-08,1.780740363783486,308.1353125,0.23
A,0.25070000000000003,103.22359750759493,0.2500000002241582,0.2500000085736341,0.24999999730670783,0.2499999938954999,0.5000000087977923,1.467813418032371e-08,1.7716879110182915,312.434875,0.23
A,0.25415,103.74359974499785,0.24999999411556095,0.25000000017162366,0.2500000054514318,0.25000000026138347,0.4999999942871846,1.133587085311305e-08,1.7628075828687713,316.73443749999996,0.23
