archetype,label,calibrated_on,R,E0,k,beta_x,tau,race_time,t1,t2,t3,t4,P1,P2,P3,P4,shape_spread
reference,reference_M1518,E0,1250.0,36505.984997936626,286.6375,0.0,0.0,102.99999999999304,25.74999999711231,25.750000324556353,25.7500002138496,25.749999464474776,0.24999999997198108,0.2500000031510495,0.2500000020762266,0.2499999948007429,8.350306585080958e-09
aerobic,aerobic_dominant,E0,1400.0,21055.98499793545,286.6375,0.0,0.0,102.9999999999963,25.749999945610142,25.750000092155535,25.750000017692315,25.74999994453832,0.2499999994719521,0.2500000008947229,0.25000000017177904,0.24999999946154605,1.4331768549702417e-09
anaerobic,anaerobic_dominant,E0,1120.0,49895.984997936685,286.6375,0.0,0.0,102.99999999999521,25.750000043242398,25.749999757414095,25.749999938144185,25.75000026119453,0.2500000004198407,0.24999999764480865,0.24999999939946974,0.25000000253588084,4.891072186152812e-09
high_drag,high_drag,E0,1250.0,67641.17057725808,340.6416666666667,0.0,0.0,102.9999999999898,25.750000869266383,25.749999909491244,25.749999538097885,25.749999683134288,0.2500000084395042,0.24999999912129897,0.24999999551553823,0.24999999692365862,1.2923965980737862e-08
low_drag,low_drag,R,655.4825470521184,50320.0,204.385,0.0,0.0,102.99999999998066,25.749999921812265,25.750000278246436,25.750000041289056,25.749999758632914,0.2499999992409427,0.25000000270146866,0.2500000004009116,0.2499999976566772,5.044791473451937e-09
fatiguer,fatigue_prone,E0,1250.0,85560.4428117241,286.6375,0.35,16.5,102.99999999998522,24.772289365090792,25.446039275333487,26.08588255036069,26.69578880920026,0.24050766373878008,0.2470489250032732,0.25326099563460613,0.25918241562334066,0.01867475188456058
durable,fatigue_resistant,E0,1250.0,63674.616592724036,286.6375,0.08,16.5,102.99999999999432,25.50129446880375,25.66852053723179,25.83359617280206,25.996588821156728,0.24758538319228307,0.24920893725469132,0.2508116133281892,0.2523940662248365,0.00480868303255344
