strategy,race_time,penalty_s,t1,t2,t3,t4,P1,P2,P3,P4
OPTIMAL,100.00184967105655,0.0,24.22077378231894,24.754946366622388,25.267010007524355,25.759119514590864,0.24220325785963076,0.24754488490013593,0.2526654265959779,0.2575864306442554
even,100.05803019576048,0.05618052470393309,25.01450754894012,25.014507548940134,25.01450754894011,25.014507548940117,0.25,0.25000000000000017,0.2499999999999999,0.24999999999999997
positive_split,100.0019571366292,0.00010746557265406409,24.26017964825575,24.7405792439805,25.240388927378234,25.76080931701472,0.24259704852685943,0.24740095046518243,0.25239894948149033,0.25760305152646784
negative_split,100.22091421816265,0.21906454710610035,25.817213329350917,25.29565346332164,24.794749435541853,24.31329798994824,0.2576030515262668,0.25239894946734986,0.24740095047993882,0.24259704852644454
aggressive_opening,100.0811553365892,0.07930566553265805,23.112127509475698,24.961097709464504,25.73309042280929,26.274839694839713,0.23093385994342144,0.2494085687312089,0.25712223581217386,0.2625353355131958
very_aggressive,100.51466713739062,0.5128174663340701,21.670564307964675,24.92114895316763,26.23278837223483,27.690165504023483,0.21559604110655614,0.2479354472626729,0.26098468133389907,0.2754838302968719
conservative_opening,100.43228051633531,0.43043084527876374,26.666021273332102,25.319252524543696,24.574568626002126,23.872438092457386,0.2655124541256919,0.2521027342441509,0.24468794793527637,0.2376968636948808
observed_elite_corrected,100.27780888389871,0.2759592128421673,22.233562368253406,25.740382758882642,26.21360126633128,26.090262490431385,0.22171966675094928,0.2566907179701619,0.26140979303488066,0.2601798222440081
observed_pilot_corrected,100.44450107722363,0.4426514061670872,21.72676761256499,25.703552037457968,26.608510127409993,26.405671299790683,0.21630619276869165,0.25589805078225825,0.2649075842086454,0.2628881722404047
