overspeed_frac,race_time,penalty_s
-0.1,100.38509091134787,0.3850752515493241
-0.095,100.34667666648357,0.3466610066850251
-0.09000000000000001,100.3103789371597,0.310363277361148
-0.085,100.27617891782394,0.27616325802539166
-0.08,100.24405836155859,0.24404270176003706
-0.07500000000000001,100.21399956631282,0.21398390651427235
-0.07,100.18598536161807,0.18596970181951633
-0.065,100.15999909574423,0.15998343594567643
-0.060000000000000005,100.13602462328555,0.13600896348700076
-0.05500000000000001,100.11404629315761,0.11403063335906438
-0.05,100.0940489369987,0.09403327720015398
-0.045000000000000005,100.07601785795188,0.07600219815333276
-0.04000000000000001,100.05993881978756,0.059923159989011765
-0.035,100.04579803656536,0.04578237676680885
-0.03,100.03358216218172,0.03356650238316661
-0.02500000000000001,100.02327828085791,0.02326262105935939
-0.020000000000000004,100.01487389749107,0.014858237692521925
-0.015,100.00835692849374,0.008341268695190251
-0.010000000000000009,100.00371569282291,0.0037000330243586177
-0.0050000000000000044,100.00093890376077,0.0009232439622195443
0.0,100.00001565980588,7.332801033044234e-12
0.0049999999999999906,100.00093543738407,0.0009197775855227519
0.009999999999999995,100.00368808265068,0.00367242285213365
0.015,100.00826380400679,0.008248144208238273
0.01999999999999999,100.01465316477656,0.014637504978011862
0.024999999999999994,100.02284707611524,0.02283141631669139
0.03,100.03283679014032,0.03282113034177314
0.035,100.04461389327754,0.044598233478993166
0.04000000000000001,100.05817029981394,0.05815464001538828
0.044999999999999984,100.07349824565424,0.07348258585568601
0.04999999999999999,100.09059028226389,0.09057462246533987
0.05499999999999999,100.10943927081169,0.10942361101314191
0.06,100.13003837647753,0.13002271667897958
0.065,100.1523810629496,0.15236540315105174
0.07,100.17646108708058,0.17644542728203305
0.07500000000000001,100.20227249371123,0.2022568339126849
0.07999999999999999,100.2298096106504,0.22979395085185672
0.08499999999999999,100.25906704380806,0.2590513840095099
0.09,100.29003967247517,0.2900240126766249
0.095,100.32272264474626,0.32270698494771466
0.1,100.35711137307962,0.35709571328106904
0.10500000000000001,100.39320152999053,0.39318587019198503
0.10999999999999999,100.43098904387327,0.4309733840747185
0.11499999999999999,100.4704700949476,0.47045443514905116
0.12,100.51164111132542,0.5116254515268679
