model,tau,beta_x,beta_E,race_time,P1,P2,P3,P4,shape
static budget,0.0,0.0,0.0,100.00001565979855,0.2500000069993562,0.2500000031204067,0.24999999414098026,0.24999999573925683,even
+ oxygen kinetics tau=20,20.0,0.0,0.0,105.54583877270994,0.2500000022828846,0.24999999722573849,0.2499999995597018,0.25000000093167524,even
+ oxygen kinetics tau=30,30.0,0.0,0.0,108.36735644139196,0.25,0.25,0.25,0.25,even
+ position fatigue 0.15,20.0,0.15,0.0,108.25255351895032,0.24560273723532347,0.24858002950902222,0.25148766200852973,0.25432957124712474,positive split
+ position fatigue 0.30,20.0,0.3,0.0,110.8045338662365,0.24170978219882086,0.2473991506511465,0.25283822323436106,0.25805284391567157,positive split
+ reserve fatigue 0.30,20.0,0.0,0.3,110.96650638789629,0.2815208938002054,0.2604634901739211,0.23824224902342903,0.21977336700244443,negative split
